trajectory_id,h5_file,generator_rank,frame_index,slot,episode,md_step,model_iteration,pool_index,temperature_K,cluster_a_indices,cluster_b_indices,pair_distance_rmsd_a_A,pair_distance_rmsd_b_A,max_pair_distance_error_a_A,max_pair_distance_error_b_A,minimum_intercluster_distance_A,centroid_distance_A
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56755,13,17,277100,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.11953219508855108,0.11552556621752609,0.25131463035556756,0.31936882957431756,10.194731712341309,13.937101364135742
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56775,13,17,277200,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.12802145987200883,0.19956317706824142,0.3646153869095645,0.5639271201554141,10.109702110290527,13.859704971313477
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56795,13,17,277300,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.13193532391331528,0.09436893579969817,0.40772623438270905,0.3285784624478527,9.751632690429688,13.695826530456543
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56815,13,17,277400,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.11945689446526019,0.13722942261400792,0.28597497407640393,0.32871431726845124,9.634637832641602,13.562664985656738
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56835,13,17,277500,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.12414972897724273,0.13815165754626718,0.28542990106972077,0.4342517318192325,9.720807075500488,13.66823673248291
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56855,13,17,277600,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.14891042648069475,0.08760641126955049,0.3582494205638307,0.25170849784824334,9.710846900939941,13.803306579589844
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56875,13,17,277700,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.08059395668663247,0.11875729186320821,0.1676072539749942,0.2870349349442325,9.564781188964844,13.96676254272461
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56895,13,17,277800,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.1383956610236287,0.09494767152140615,0.5600893400571056,0.25825404588426526,9.836458206176758,14.161869049072266
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56915,13,17,277900,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.12696381214678873,0.11952721903578087,0.2714495561978527,0.3382262649002872,9.809117317199707,14.317008018493652
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56935,13,17,278000,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.11114175964994838,0.08446135477569687,0.24272770304115632,0.22736400980385163,10.255565643310547,14.495007514953613
