idx,config_id,oob_model_count,force_std_rms_oob,force_std_max_coord_oob,force_std_max_atomnorm_oob,force_std_p95_atomnorm_oob,source
1866,1fe8e7f7ded2606a955299e6d780dfbf10d95168,2,0.002718141129322232,0.005107114307707303,0.005528513911564255,0.0054832841862080825,bi4-6
1867,7d51311740a45c2ac621c1081b006eb5201dc7fe,2,0.00105239213604928,0.001576953488414622,0.0022523331483070936,0.0021750120306006687,bi4-6
1868,03d608076f2a6fd2bf5d1c2e2e76c8e19028fc6c,3,0.0010941763487216606,0.002357503166812848,0.0024590853213849605,0.002378518523043943,bi4-6
1869,31a97540c8a31a6c17d338482211a1af703d2407,1,0.0,0.0,0.0,0.0,bi4-6
1870,d10aaf27bb85049e18cebc175868493d72328e34,5,0.004863914524349756,0.008672905753034426,0.00982974255585106,0.009746963399092826,bi4-6
1871,4d4e5d1d8034430eb60bb4534797b2eb47e5f28c,1,0.0,0.0,0.0,0.0,bi4-6
1872,dfb561338c18faaed47d2fbb6ffab3f8b357326d,1,0.0,0.0,0.0,0.0,bi4-6
1873,f9612156e6cbcc1a1d6c333469e3837975eb9e19,2,0.004479281769549508,0.007759660040445372,0.010009558511149267,0.00970921396977099,bi4-6
1874,53dd3c48dca9a9e6e82f82776da3e55998c371a5,2,0.008893674721319328,0.021985298884618427,0.02243854105448348,0.021022737479277315,bi4-6
1875,68c6eaaad6d4eb689827864a7db2d2bacc45671e,4,0.0026338301666460123,0.00590809232801028,0.006504072982045298,0.006234485304760536,bi4-6
1876,dad133235a4c78027a8ac5ee2811188676ea4a7f,2,0.0038710929380934133,0.009131150253484094,0.0102524415693167,0.00967068501190967,bi4-6
1877,249d94ba18301364a698042e16e5cd5be71a3339,3,0.0013706743428119842,0.0025081680955230013,0.0034341341258507635,0.003266534839947365,bi4-6
1878,0996f76a93c7ded82eec22ddc866e672da6925b5,3,0.002516138236321187,0.005878266518747616,0.0061009106460768875,0.00607303863240324,bi4-6
1879,d0b5c2106aeda47854ce99bfd5a2fbaa8309fd13,5,0.005737077681305747,0.01277350030260799,0.014269511636134118,0.013540948540160802,bi4-6
1880,9f2bffa6402ea3e6c7ac6ea72a601b87d36bd227,2,0.003241267271036723,0.007293534268246396,0.007763481653337806,0.007422076692947459,bi4-6
1881,7145754ebf1ceaba5f64268c63e52484ad62a670,1,0.0,0.0,0.0,0.0,bi4-6
1882,55131e17e701ecc1148a8542060a4844fa98cccb,1,0.0,0.0,0.0,0.0,bi4-6
1883,4ad9b46f6c376a1377e9da927b5f9e5ea1aa4da3,2,0.0024420840891460228,0.00424711513557728,0.005427703170159073,0.005232545914054983,bi4-6
1884,25b71d916cec9a26bdd6bcf0472437e433d16dfb,5,0.0011008355853715341,0.0021648479169298937,0.0023475003684136054,0.0023449496619942865,bi4-6
1885,1d49d329381161ad287c4624c7c2ee6f9e2fcb92,3,0.002094595209249467,0.0033178191052297143,0.004198375416515935,0.0041566728669385775,bi4-6
1886,d961c9dd95da18fd9bf281ea3aa86f2d822c9ac6,4,0.0032037395773634432,0.004892941561319562,0.007032623650757123,0.006895293690754676,bi4-6
1887,1d01899ee402b0267812dc2e206c9cbd3200bfd4,1,0.0,0.0,0.0,0.0,bi4-6
1888,0d3120bb7412ac9a24ea087476fb8f198a1ec783,0,,,,,bi4-6
1889,a81fb8df9e0694ba00361ba52c7bd923ae4cbe27,1,0.0,0.0,0.0,0.0,bi4-6
1890,a060cc31bd63b88b52f68c7136d4a1cabdf79f84,5,0.0081411248627956,0.019041926353381863,0.019407486816572703,0.019221459955730255,bi4-6
1891,b91abedd0c15c668cdafe6f1fd34dc45e7aa1c23,3,0.002726788617058659,0.006340751575866113,0.006556923373406235,0.006173382758479862,bi4-6
1892,e033147519c7eb8f03b4bfffe602e5981739f4d4,3,0.0014017133164612907,0.0024830465047018095,0.002706444576591882,0.002692921658771397,bi4-6
1893,08ac08201c618e030d08bd9275ee96af8dc848d2,1,0.0,0.0,0.0,0.0,bi4-6
1894,a00d273063d4045bbf2bcda53a6656c24c847925,4,0.0034324913673076034,0.006781167348457566,0.008175359654756829,0.007885593941620727,bi4-6
1895,8f5317f86868bfe1697c75184c0d57521b1f2fef,2,0.0021016975644723764,0.004661557425742468,0.005299922850220786,0.005113862244226569,bi4-6
1896,b0ef06b4b11f59360b1e3ab24a669fd4eadb2ee8,3,0.005297021766536078,0.011434941997067622,0.013340100980479329,0.013103338575606542,bi4-6
1897,12402ecf241fc80495ce2e6df4b5994101effc8b,3,0.0014603952983021553,0.002533094980455586,0.003150554713867974,0.0030887805049768322,bi4-6
1898,04285d949527d866d80a0c4c06126311fa251507,2,0.0022979019087886964,0.005173053838103976,0.005331068746304964,0.005260780391165305,bi4-6
1899,9da1b010c4567c4e0c357d8a398fc2ce9e711a9c,1,0.0,0.0,0.0,0.0,bi4-6
1900,c3b1d82b7daf9b84294f566a550515a14731ee26,2,0.0030050042948783612,0.006552741001829097,0.0072351600456131504,0.006990037945329437,bi4-6
1901,860d63b3839732faae7faacbca5422ad3c45d9f9,1,0.0,0.0,0.0,0.0,bi4-6
1902,653118bbe83313fb401a14d37237e773b84f8b6a,3,0.001584325749510243,0.002567892995380191,0.003068115319204782,0.003016387091446736,bi4-6
1903,2baab3cb08d3ebffb315f64ab40becf92ee24d98,1,0.0,0.0,0.0,0.0,bi4-6
1904,e5e355faba1a386d6655768f82c4f19c20247e82,3,0.0014320524687249459,0.0034504877748549457,0.0035922614204162598,0.003430584101807748,bi4-6
1905,d89b7e9366995fe963ae1ee079e12aac56bf66da,4,0.002301647563931985,0.003642644170119176,0.004329986654547355,0.004321191888202042,bi4-6
1906,2503333cc36e48f87e6c1c5f116ee873c06cd2c4,4,0.0016200673442817548,0.003653259117391608,0.003800629659473917,0.0036572659179378874,bi4-6
1907,86db0ee83e939bd31a02f3cae1a86fb4cb87a0c6,1,0.0,0.0,0.0,0.0,bi4-6
1908,8212db34b91cf87da5bbb6fdb69aae5f2c56213f,1,0.0,0.0,0.0,0.0,bi4-6
1909,9c33c9858a102525ca40d370b9f03ed0cedd699a,3,0.0034337681627865024,0.006785669243885114,0.007343637926302016,0.0072467816112932884,bi4-6
1910,be034982bcb9713788c80f6de752fe0822689252,2,0.0037307518236587883,0.00737711669066222,0.007590489525307501,0.007461676800771756,bi4-6
1911,1b2098c156f78efcd4b9c2b951cc9d98b56bfdd5,1,0.0,0.0,0.0,0.0,bi4-6
1912,0856434380406159c14c24c17fcf73bba9a2794a,5,0.0018716058759680623,0.004129661406735814,0.004558105956904328,0.004328365482616401,bi4-6
1913,b96268d0318f82ecf00bbf52dcc7093463cfbffe,2,0.003459166241371322,0.00956248749672686,0.00968498958085586,0.009165481887259092,bi4-6
1914,dd08cdd230ffcf00be6f977a094b9b14a9bbc981,2,0.002791446763846593,0.007210223286018044,0.007215082508505012,0.006970375262686775,bi4-6
1915,73e9b244930a46887ebfc1a0b0d8d7d366a9a6de,2,0.006785036003814866,0.012804202664182559,0.016567977129909265,0.016024432602471026,bi4-6
1916,3c5cdc52dbf541d01ed879980046eb2161b260f9,1,0.0,0.0,0.0,0.0,bi4-6
1917,47a0ee25aab32194535e407ea72b11feb3d9d6a6,4,0.0010841339309737494,0.0021476777197194053,0.0024507839877551153,0.002353976200116431,bi4-6
1918,e46e1148d50c814c297dfab801d5568f0e0d2ebf,5,0.002111739232380782,0.0038642829506815956,0.004901694931291477,0.004787704385892159,bi4-6
1919,c04afeb05f6a6c3738da493b160f08eb02c19f76,2,0.002315603258561597,0.004953683810124141,0.005315194533820215,0.0052850296185519095,bi4-6
1920,349a47d1141c30f68f2efd200a48e3baf36890ca,1,0.0,0.0,0.0,0.0,bi4-6
1921,de28753a596b891aef618e66efb78dfbf8dec1f6,3,0.0012719365199278694,0.0022798426631960157,0.0025707114523221236,0.0025621461478599833,bi4-6
1922,d825aeae4ec77ed459ccb6f5a0103d10042cf408,1,0.0,0.0,0.0,0.0,bi4-6
1923,a874c7bb1fbf9231b674449ca71f4206f135cde0,5,0.0042788775775798185,0.009886154589682377,0.01020513999770954,0.009799540153502696,bi4-6
1924,64eab5caee97dcc9525bc37471dc710c37a8fccf,1,0.0,0.0,0.0,0.0,bi4-6
1925,c104c060bfc2ef67a6195c6dd71a0824804f9ba4,2,0.001476674206433023,0.002960990188071902,0.0037475881027256948,0.003605690662422943,bi4-6
1926,bad57cf64a84bc4092918c45f4442eb4392d4f34,1,0.0,0.0,0.0,0.0,bi4-6
1927,0476a0c2385a5feca7155ac45e63135863ec2e46,0,,,,,bi4-6
1928,985072cc5e89a869ea46cc07156ccacdff3da968,5,0.004140221959762101,0.008612257420563525,0.009677362797718825,0.009624859474311024,bi4-6
1929,6476a7cc0a478d8c9d99b0b22eb53dd70369cd8e,4,0.0013660603058236703,0.0026008787824590546,0.0028052338601621076,0.0027509977031520754,bi4-6
1930,09e2f925639334851291fa289f48f6d68b41a538,3,0.0023463723461815762,0.0042733082022897275,0.004905673463679297,0.00487601063590076,bi4-6
1931,7eedb6bc7a731a1e2fe2392560fd6038ec3eb0f7,3,0.00636753084775914,0.013462179887195553,0.013640340880605225,0.013308107187718094,bi4-6
1932,2fb4da7ae94256be81190d960e06ce02bbc03a87,2,0.0011568583035653178,0.00222843959850191,0.002340179276272076,0.0023180693678434474,bi4-6
1933,8e34ca8ca3f025ba1031b3779c255d8dd77a0b84,2,0.0032418369302780474,0.0059300227546428995,0.008040016301882488,0.007935538466243971,bi4-6
1934,035e54aa6ddb41944f3a8f8efd54fac7770cf4a8,5,0.004078250500402202,0.008143243863032518,0.008616321098055943,0.008459265611983034,bi4-6
1935,32d07fce70065af41591a75772bbbf3d2aaeb130,2,0.0014009750359206183,0.003121473395323643,0.0038521232952372824,0.0036422315104796188,bi4-6
1936,19e761c005fcd6c4069909e1b4653940581fc9e6,2,0.00072433392751881,0.0013618162758579468,0.001828943808207733,0.001730812373292982,bi4-6
1937,2df2c827eb6b4e334826142800bc92f4dd168594,2,0.0006060950163880908,0.0011637475340234818,0.0013892203756465725,0.001384608949233381,bi4-6
1938,62c1896fcd096bb8a1de605992e57bea983b2240,2,0.0045716791455939765,0.00838301011617251,0.009604901485298344,0.009315632838750199,bi4-6
1939,da476c1b135d4e60b5a314a4e0eec397d032f768,3,0.002130150608121548,0.004296106971957517,0.0044576766196267525,0.004370683148356461,bi4-6
1940,d3e4e2fdb34c6d5ae3305f0c7661b2c5803e9d96,2,0.0018530940044940373,0.0043458942691409755,0.004483208597945572,0.0043881526000526605,bi4-6
1941,d55cbc19a8b7e74afe975b6c39e68523dd07d726,2,0.0014253510194351415,0.0029920831597043595,0.003298201551041538,0.0032385304550639677,bi4-6
1942,b66cc002a454f05425cff7630f6ecf78b885867c,5,0.0015612245706392532,0.002383496061877271,0.0030765394308210634,0.0030709447962735327,bi4-6
1943,b1aef96abfb79622464013fc23d6683500de4232,3,0.0017352738092975958,0.0031921460189898924,0.0038095382314798304,0.0036533840240534896,bi4-6
1944,cd60c4735c9c354608746311d11c9a2b84c73389,3,0.0014049115907063027,0.0035500817463999606,0.003746196628548989,0.0034820597012784438,bi4-6
1945,5ee937bbdbc89ea6711620d881dc6e6cb83b7252,1,0.0,0.0,0.0,0.0,bi4-6
1946,963cf06a73c6794192bca83e97792816fdb77184,4,0.0022218619582249958,0.0037679426011646287,0.005079564649311702,0.0050688931836906734,bi4-6
1947,c1c24cbcde0b7ae945f0aad808928fb3dfafa96e,1,0.0,0.0,0.0,0.0,bi4-6
1948,851680a4bfaa04162efb495319595e8cba4ac511,2,0.0010281580360980058,0.0027700010536215133,0.0028705592795271583,0.0026895406032507734,bi4-6
1949,e17d3d076d8182c460465ee18418dc6f6e27ad1e,2,0.003660764878300052,0.009673699315720959,0.009909734560562544,0.009238440935582218,bi4-6
1950,7d97109ccbdd40c5ea966ddbd3b91181aa07f780,2,0.001894184748585335,0.004705623594525324,0.0050981837269799355,0.004798873385508862,bi4-6
1951,8084ef9b213cd0481c73756158613344e5836161,2,0.002287731755111623,0.005291577129497432,0.0056786028728845195,0.005520884353827044,bi4-6
1952,5ccebd4f6334b0f21d3bf9d8d767b6d41ab0cd23,2,0.0029055710750576034,0.007534655567185668,0.007951255804512614,0.007529051509941835,bi4-6
1953,8066bcefa282b03abb8db03645bc10d5809d47c6,1,0.0,0.0,0.0,0.0,bi4-6
1954,21239f0eca70d084eec13fb6463a24f1199403bf,2,0.0030426489977865476,0.005992101518556579,0.006089371139219714,0.00598103961602919,bi4-6
1955,ef47bf06fd0ae503fe34ba00da8a4c2129078c76,3,0.004069210033632278,0.008397915153005272,0.010002733741234567,0.00972362179316385,bi4-6
1956,6d1e71ad9b68c9d0774b2095c5f54c06977b1c47,2,0.003578683833619799,0.006729794401070909,0.00788399970464933,0.007870582446309428,bi4-6
1957,6b167b6d38af6793060da47e9bacb86ca0cc2424,5,0.0023735243071607904,0.0038838764208996832,0.005151680220460537,0.005086551235930588,bi4-6
1958,f65002d3ca99d1aed57fee17f65de4dc03362e15,3,0.0034590787255238337,0.0066649910545558185,0.007675054185379041,0.007477580175237382,bi4-6
1959,bb96d36ccd7687dbda6133e707c8fbc09f5a85db,3,0.013410666940875223,0.02330378218658344,0.026631826632962666,0.026298947746584575,bi4-6
