idx,config_id,true_energy,oob_model_count,energy_std_oob,source
22,d58aa61b1f71198a6c63414c70832b1f541240a9,-64251.484375,2,0.07902423710356407,bi11-3
23,2e07b3fba5917702d3a43ccc0e57c5b915b0a495,-64251.72265625,4,0.11955687028878144,bi11-3
24,d1c08be7bd9014cbb95af0765231744841ca317c,-64251.12890625,0,,bi11-3
25,2688eefb9b00ddc94aa44a49cde9fc0a083679e5,-64250.984375,1,0.0,bi11-3
26,4ade9b9b1f41a245a87d1e7f0749f8e7e81baa0f,-64251.53125,2,0.07727473194315436,bi11-3
27,4941bc99df10ef204c1d3e5c239ac0b91bdec046,-64251.51171875,3,0.0835645972874316,bi11-3
28,0e6fc0cbee5d65c233fe9141e569163bb3f0bcb1,-64250.96875,3,0.050668663663350016,bi11-3
29,d366022814700a57292797efaf8fa41f07e8773f,-64251.375,1,0.0,bi11-3
30,8c6ff9785cdb3e1ebf6d33db5c7c950e03b682a1,-64251.328125,3,0.12307925311717506,bi11-3
31,32ecaa60f1c614010373fd754813845f13ceef50,-64251.46484375,2,0.05746405167125467,bi11-3
32,5a1c0e7387b9f9f03d95b79af24b4fc981b35b5f,-64251.484375,3,0.046653660250131554,bi11-3
33,2884219437b25a040eb78944d75224b51683a2f4,-64251.43359375,3,0.1183742187193546,bi11-3
34,f2eed0e7bc05e2095b460fe450b0c72824a7835f,-64251.63671875,3,0.10922908440029747,bi11-3
35,ad0524aed60c33722b7b7d11311a6284c75c4316,-64251.69921875,2,0.15456892082560636,bi11-3
36,112bfa3c2b6679dca88c7562db25d8ec7c0e0079,-64251.234375,4,0.11956886586895496,bi11-3
37,aa73bdd3e28a10263d70866495328951f7f3448e,-64251.265625,2,0.15626186678290555,bi11-3
38,b7d34371bcc87a20c499d72aecae393916d41a11,-64251.26953125,1,0.0,bi11-3
39,0e233e6ba9cf8e8f2b98381905cdd57979769c1e,-64251.765625,1,0.0,bi11-3
40,d7c85da3302ac505fdd654cf37bab9eb7f1cc95d,-64250.2109375,1,0.0,bi11-3
41,5bf28df8e626b8844ec05d01ec2b9f7ba633a943,-64251.796875,2,0.15355762961697,bi11-3
42,318ac751bb0d24fc78e4c91b0aba8dff52bfc799,-64251.66015625,3,0.08523969327068094,bi11-3
43,37fc78c8bae193103be9172df47e57390bc23cf4,-64251.5078125,1,0.0,bi11-3
44,d02f26b121b49912b841730db4dcdc443ab3b4b1,-64251.31640625,3,0.08571359394288017,bi11-3
45,dc0c2b532319f479d4a53852d500907626b963a2,-64250.76171875,2,0.057964506926163915,bi11-3
46,6e0f0e3ddbdeec93f1002a0176941726eec6d505,-64250.88671875,0,,bi11-3
47,c2b435880deafddd9f39e60787e80f12f6811054,-64251.8203125,2,0.15513265897160386,bi11-3
48,3efe32e0d1ac3c5ae3f6b8604f410d73ba213bbc,-64251.39453125,5,0.10976671025425333,bi11-3
49,13a34a0fd48f63d2673ccde3dd9ac8d9eb691bb5,-64251.8984375,3,0.1397073724108027,bi11-3
50,33755376b63508be62b6334e5fe6392dab1ce43b,-64251.63671875,5,0.10803635538620629,bi11-3
51,af0b88773f9bbe577fc3a4b51a55e782b94183cc,-64251.671875,4,0.11925928341391756,bi11-3
52,380098c85a3ddc0c3b596097e7d9d100852b2949,-64251.5078125,3,0.10963989291815579,bi11-3
53,f39bca30281d62dc6a332f924135bc2132885e3e,-64251.38671875,1,0.0,bi11-3
