atoms,coordinates,total_energy,forces
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.7271839584806665, 5.367552348644331, -0.07045450128829124], [-2.631310699607738, 5.806277606358011, -0.18926225165094607], [-5.647978065852785, 2.377307506127462, -0.04385404055067689], [-2.5413227377892094, 2.5924193620092297, -0.09800628046442024]]",[-267.3771639537083],"[[-0.9935487249235427, 0.263953654572542, 0.04732824941928422], [1.2517328450950964, 1.7500368887104865, -0.10089366016936711], [-1.285341518561703, -0.8195397684332094, 0.022235682445784635], [1.0271573983901492, -1.1944507748498603, 0.0313297283042962]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.963493421918649, 5.515756419641442, -0.06889196168741352], [-2.769846620049998, 5.708814450664764, -0.1451428409884956], [-5.42633025105847, 2.3372759924316093, -0.04536614298288523], [-2.469664871692764, 2.507042302342665, -0.027327169216010635]]",[-267.1488185327502],"[[-1.6998391901994758, 1.5444158369716885, 0.031025680478867126], [1.041852982538759, 1.4741697380771717, -0.09681549422086114], [0.023125546038712752, -1.3743550389708388, -0.00842969595799505], [0.6348606616219686, -1.6442305360780731, 0.0742195096999901]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.7278373834652365, 5.416695883861808, -0.17027340283260864], [-2.7005536957891474, 5.58210091335969, -0.2744188839935312], [-5.359656286370783, 2.504474230887897, 0.21013664991600906], [-2.4511403299568437, 2.658064837510482, -0.022837022305587533]]",[-267.8968656695192],"[[-0.9448207116426784, 0.37608331634149106, -0.05018237590067269], [0.642027566634696, 0.18935623970689403, 0.000841912273955599], [0.0014405400447916493, -0.18903073201197332, 0.06348458570892404], [0.3013526049631646, -0.3764088240364118, -0.01414412208220634]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.578889019936728, 5.299903337987197, 0.08274714935501548], [-2.955949073028762, 5.576844233077281, -0.16274315501816403], [-5.454118342013126, 2.556456092984584, 0.16519660325955354], [-2.4594980276039493, 2.6173611584009744, -0.05930226083049867]]",[-267.4572840453103],"[[3.267001863079743, -1.0544522619760646, -0.24535650430775718], [-3.5376176154367998, 0.10311747220833312, 0.2929690688442086], [-0.44045604914242875, 1.6421108143576728, -0.03738417197784304], [0.7110718014994803, -0.6907760245899517, -0.010228392558606839]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.691572208069159, 5.443580709834663, 0.034409479202672115], [-2.692723636773047, 5.593802773828135, -0.09080992157400777], [-5.5344469606838755, 2.4514288694966555, 0.03139029064928822], [-2.4718798970829807, 2.882700659955118, -0.02330217971454255]]",[-267.6262038841818],"[[-0.7252686488777086, 0.22869024823599785, 0.047683487807203835], [1.032567449521535, -1.982225347938655, -0.000581512637497929], [-1.2080950515962947, -0.5753979745711546, 0.007535332894129568], [0.9007962509524684, 2.3289330742738272, -0.05463730806383558]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.691184633610595, 5.308821042534554, -0.0159377327102082], [-2.7775802308901723, 5.5529058955229775, -0.02061035506299108], [-5.406556535243648, 2.5118346242739293, 0.10521809166395533], [-2.711170379861633, 2.7560760474444677, -0.0972245497498048]]",[-267.7124490069184],"[[0.07818974693683124, -0.9132023653276609, -0.03421844377461681], [0.21158508360036715, -0.9146760981767833, 0.036429270691909765], [1.9011173060889228, 0.9120858590182166, -0.11569064993165723], [-2.190892136626137, 0.9157926044862273, 0.11347982301436428]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.737019575594585, 5.421546452464613, 0.0933072262969171], [-2.776260899707394, 5.792518910449069, -0.2969131210400171], [-5.375947211255952, 2.4241536905791747, 0.3718286329293412], [-2.4148919288028203, 2.7195180154529632, 0.062479978849444784]]",[-267.7280273948569],"[[-0.6706798330634638, 0.7473509859664742, 0.014207957718475222], [0.46089411414074244, 1.2503905137482114, -0.2289833375440485], [-0.4272142209001052, -0.8975543737313926, 0.11989682718032817], [0.6369999398228213, -1.100187125983293, 0.09487855264524667]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.752718148025577, 5.402191783705245, -0.0834509722180386], [-2.728911144988579, 5.682627127856206, 0.0005497625867081357], [-5.487416514960756, 2.3530249072224176, 0.18508688943542345], [-2.6027827963888233, 2.806538910094108, -0.04908757695069117]]",[-267.8007311008058],"[[-0.6916479874421416, 0.6924443967117203, -0.1680981495723833], [0.9413527732611163, 0.04356537116950837, 0.08097504812580195], [-0.2149942656538359, -1.1094492865968462, 0.17242678252404625], [-0.034710520165169144, 0.37343951871561426, -0.08530368107746489]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.602026603773492, 5.455543630446464, -0.1239374342718001], [-2.756035592628837, 5.593911514251053, -0.1002023407293728], [-5.57957590884343, 2.5211712826189165, 0.15398514512076894], [-2.4982874361016014, 2.81480318004272, -0.03856839347999146]]",[-267.7824532695681],"[[0.39503400286445567, 0.09582021379985126, -0.059151250500153935], [-0.1671796912145767, -1.0641054749086944, 0.07052015200914068], [-1.1834925978273974, -0.30830890922014315, 0.1357648997555313], [0.9556382861775133, 1.2765941703290018, -0.14713380126451803]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.690562137399633, 5.295227850356582, -0.022351191560928466], [-2.8935309191305865, 5.675112033548608, -0.04079474611140688], [-5.437349173863063, 2.5636520569808763, 0.1916508936085488], [-2.493856100779861, 2.807411008768382, -0.027893134027945077]]",[-267.8311363635579],"[[0.7569067261431418, -1.5034921293024803, 0.059354309980321915], [-0.6088443482972514, -0.27993712566549284, 0.06603754893732262], [-0.5583753575375671, 1.5783410396342923, -0.03642068306809041], [0.4103129796916665, 0.2050882153337065, -0.08897117584955207]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.863785697440673, 5.422379814101134, -0.05477563698529293], [-2.7027067797534094, 5.549827034792692, -0.15902057739522277], [-5.355169851907812, 2.582244714677618, -0.03711922916695655], [-2.578314131111627, 2.807769861553955, 0.01442334045854797]]",[-267.5820179642534],"[[-1.4840613391446835, -0.3348699558042366, 0.08455775276927405], [1.3320740422105635, -1.7919731186994823, 0.028053665966219096], [0.9823248179850399, 0.6392062842646004, -0.036411742655843043], [-0.8303375210508686, 1.4876367902390775, -0.076199676079647]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.776118962778908, 5.375303488941053, 0.1067986557806625], [-2.754103056681615, 5.6725896115644785, -0.23036486276164594], [-5.411404707140896, 2.3543211611842, -0.11820993664619277], [-2.6413069633532955, 2.6207512034678806, 0.06505774167892504]]",[-267.6657893364763],"[[-0.761253770553281, 0.8158695787610254, 0.25138863313045834], [0.7069071291205734, 1.1248422292693478, -0.2824704704674666], [1.2005836915307448, -0.8750096733202961, -0.10526984485418442], [-1.1462370500979857, -1.0657021347100772, 0.1363516821911875]]"
