atoms,coordinates,total_energy,forces
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.816800724423395, 5.5948306005054524, -0.1846030482886902], [-2.863038320790645, 5.531086275655561, -0.0588582723450789], [-5.295004244830945, 2.4318583350111522, -0.029037709288931], [-2.661415637301489, 2.702036888382136, -0.10858147891756323]]",[-23365.551078014916],"[[0.055690279445073085, -1.0835169485202838, 0.11012015200348181], [0.3306813298618911, 0.7358187630029966, -0.06044080653130848], [-3.2038066216538494, 0.49392471907678875, -0.031316166899504706], [2.8204230472442906, -0.1497347029132165, -0.018637160618804494]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.791203287092937, 5.533954080258829, -0.01668891898204847], [-2.7534347369402137, 5.593896726313805, -0.24398274799944122], [-5.431451396841676, 2.4124289628123696, -0.0056896672597208375], [-2.4229257374375486, 2.882137381274174, 0.01974034232259506]]",[-23365.85699572261],"[[0.6690389495545218, -0.7226680773028805, -0.1280017215508507], [-0.6740546603670241, 1.5366530474924327, -0.006668488826742217], [0.4373164524528681, 0.7254968065605774, 0.09644341830652428], [-0.4313436736719191, -1.538726386224851, 0.03669442916867655]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.755159228596881, 5.340500451775624, -0.03876032279686483], [-2.7123507294030413, 5.569921014221955, -0.21868816567002544], [-5.500352768525339, 2.5286533545062033, 0.19372255710953284], [-2.479855302935759, 2.732033376715769, 0.11701286042235207]]",[-23366.00662806769],"[[0.5767162405565877, 0.891858071454114, -0.1494711132717885], [-0.6660127594651661, 0.5956915065697256, -0.0008051732805767739], [0.5987480356931122, -0.8430518216748408, 0.09873242129102014], [-0.5100755238658308, -0.6453241093606545, 0.05176543688330305]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.81789782159101, 5.549615262205332, 0.004409513670496482], [-2.6626043335386647, 5.629888685917364, -0.03909053440671725], [-5.400060099120247, 2.4606491229169944, 0.10352181613521907], [-2.6967333330791625, 2.702807999249379, 0.004290854853486199]]",[-23365.803973541846],"[[0.8227920318140886, -0.7245696662494289, 0.03819764602956233], [-0.7274354194130618, -0.022015658884187488, -0.011924633912835015], [-1.9303508650306747, 0.581128256013966, 0.01567005965488083], [1.8347834220541788, 0.16303394703590113, -0.04145972467961309]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.834004460049618, 5.464580219776113, -0.11707975923204034], [-2.6816060429378723, 5.5620276162500115, -0.12276000110414301], [-5.307145580884334, 2.425492560136452, 0.07300452698636883], [-2.6189564548972424, 2.6817411099693507, -0.034404673138107765]]",[-23365.782096119376],"[[0.8744259824092269, -0.6270877788034902, 0.07302708335426637], [-0.6706772573921918, 0.3393962430983199, -0.048227041624158765], [-2.153473377270576, 0.3530222231908901, 0.004784811223132167], [1.9520741276177322, -0.06802407379838381, -0.030822571384658194]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.730527442334272, 5.372868201877734, -0.042917989567697996], [-2.7955892975881915, 5.561556585363739, -0.19580546742138538], [-5.518959065961302, 2.621569610259119, -0.009295437928488276], [-2.6440706544228156, 2.8254608477409318, -0.03820309597927224]]",[-23365.808605641425],"[[-0.10664854375687882, 1.6840709280696096, -0.07911381349015188], [-0.13308309837429788, 1.8182589329256407, -0.0453794815965261], [-0.2101866680383974, -1.69246095653145, 0.07941416992705803], [0.44948425629456557, -1.8104576874123668, 0.045224716527504275]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.749723146924306, 5.355340636289177, 0.03860526670968112], [-2.7546916763516722, 5.609388694507344, -0.13669736396008592], [-5.599715650595432, 2.585607929176329, 0.12085325054967774], [-2.42391329745146, 2.6606217034915423, -0.0928390294470896]]",[-23365.882806530764],"[[0.48673637347303117, 1.3350481094732773, -0.060528069820716075], [-0.47444160848722805, 0.047472324728279995, 0.017584586399670254], [1.0414187105873396, -1.3478568382644012, -0.03758716810055939], [-1.0557320497780307, -0.029459988802028648, 0.08091656917668771]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.574873689291574, 5.426843805445677, 0.010590318023632452], [-2.688638349005975, 5.485299121773197, -0.0748870754890052], [-5.580055882887058, 2.54667052415897, 0.23231006392131742], [-2.517955378973213, 2.894128804741765, -0.07654246980735216]]",[-23365.478686675717],"[[-0.30059349274832453, 0.7680105349934705, 0.03331932990354684], [-0.10143336665114608, 3.8024369007572485, -0.08205166042617693], [0.7724678018914375, -0.556306298188428, -0.09991790619025562], [-0.3647521679228023, -4.018990240798081, 0.14803587127375947]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.89232099674926, 5.466750205874383, 0.0005351523115554938], [-2.6798342703408022, 5.78195248868377, -0.04367233604276735], [-5.45882129648974, 2.574549157267352, 0.1699487905344263], [-2.6307043664624263, 2.850051874761494, 0.10115016540173682]]",[-23365.95030278772],"[[0.9725537313253834, 0.23750419139029952, -0.0129346306401428], [-1.048485134411966, -0.03621612144165613, 0.005486778309028558], [-0.46838141215059675, -0.1382890195035466, 0.003755840258253075], [0.543876550212233, -0.06516012040795613, 0.0027832839558231126]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.712206814574991, 5.337708239205101, -0.12833616750454613], [-2.7370420325981706, 5.6842525605617125, -0.0285634307588917], [-5.423157611270605, 2.552826834310412, 0.18595754170801854], [-2.526509168316759, 2.697321772135966, -0.05501774455791167]]",[-23366.044542811705],"[[0.1899601482708959, 0.9061806666212892, 0.05208836761841187], [-0.25521149146931116, -0.21449105705810345, -0.14578096113597971], [-0.08744285535138059, -0.896408412337837, -0.028438247269004485], [0.14982813685361343, 0.20394181497091, 0.12374422947866362]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.56435568268638, 5.3435168773156585, -0.03550852200983094], [-2.695721342610905, 5.682287123324981, -0.1785047383262288], [-5.4079019849395396, 2.4012905872772055, -0.11680002408209762], [-2.5218800255037435, 2.6032214518073893, 0.02333592561730252]]",[-23366.042495595848],"[[-0.45897440898362185, -0.11271835602463522, -0.09759558169041731], [0.3707372365836384, -0.7214036080709814, 0.13366447654167693], [-0.3005926185727677, 0.183967623406781, 0.0968090293776427], [0.3868353851509047, 0.648534390537859, -0.1341503638849959]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.526889374887438, 5.352902255964275, 0.107229897663743], [-2.68753411317173, 5.68111718089791, -0.1309814333615962], [-5.41898334208733, 2.479654000052158, 0.18446578687660564], [-2.4766447635923474, 2.753792271187309, -0.18985782989398822]]",[-23366.083601729744],"[[-0.5849797706731462, 0.4900353063361158, 0.09010194312896215], [0.37114635074423163, 0.03820171865921529, -0.07772454284199344], [0.25585159366527205, -0.33704291107726014, -0.06590887748342103], [-0.041898879626106146, -0.19089906424101566, 0.05360187403982237]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.739547343323675, 5.445796009465692, 0.1679381066096736], [-2.695631404535897, 5.698623524836949, -0.24700059271666058], [-5.692207723501392, 2.627332258596942, 0.28147958821016344], [-2.5586195003044168, 2.709373037939628, 0.13163103259010903]]",[-23365.91736228663],"[[0.6720204024242049, 0.9588651705473629, -0.2182109311628442], [-0.7731476019420965, -0.3539346053617557, 0.21841276287228722], [0.9894515448387766, -0.7710948320463092, 0.06436750028837533], [-0.8875854098649114, 0.16773953121409746, -0.0646940305698946]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.758633100027828, 5.218736878668285, -0.03987478056993456], [-2.740420479258444, 5.735713846523266, -0.058913532418796766], [-5.404702751284441, 2.36018912470292, 0.2120402186909886], [-2.4139422312582437, 2.5975398780351178, -0.09439562218698004]]",[-23365.977093683803],"[[0.5417533320509841, 0.31576311260796985, 0.08551617242414215], [-0.523054716890535, -0.9580444739657806, -0.10172400431274402], [0.47372864118750135, -0.14198981601231203, -0.13405245622263173], [-0.4912576094529211, 0.7783201501339112, 0.14991051504432112]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.539868870963747, 5.2440594485490735, -0.03243066145484008], [-2.7358039539254144, 5.649793681201121, -0.1524633831537569], [-5.417964608979569, 2.394062315392669, -0.011475651898198186], [-2.5545447927130023, 2.4838709008507225, -0.031211925032111655]]",[-23365.921391392763],"[[-0.9590106950665283, 0.404831163163668, -0.0029025590399006547], [0.8533480670714713, -0.8801739438057977, 0.03582733957607273], [-0.5478062264506114, -0.39642961615331457, 0.038877641484169334], [0.6525653682966457, 0.8706048067840779, -0.0742384335655655]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.740193048322003, 5.739009758104553, -0.04311348477555798], [-2.781250260936065, 5.575984815902547, 0.035736428149159644], [-5.481264544379736, 2.5525712990072886, 0.08340376028669252], [-2.564116923437385, 2.677337429724904, 0.1279344152715056]]",[-23365.96212049014],"[[0.2490858862321928, -1.107537750159039, 0.05918641602935871], [0.09624590605277379, 0.2210024822483303, -0.013686570743076365], [-0.3553260357377604, 0.8185368537360225, -0.046957563880540044], [0.007986205634470101, 0.06835374082748932, 0.002560928661189553]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.735374244924896, 5.3994531354165956, 0.15645891741328544], [-2.742321656986845, 5.619486150476774, -0.11623795755037801], [-5.582886896165279, 2.448874734900017, 0.08883613234581167], [-2.558361039893704, 2.6180429379845895, -0.13316980490333538]]",[-23366.09499646607],"[[0.42113345743449837, -0.06255862537294174, -0.06322377012750106], [-0.4124387530800597, -0.3788384271570857, 0.058875620907862254], [0.5218247004599931, 0.1511915421897082, -0.013329279766375232], [-0.5306081079224035, 0.2916564360762795, 0.017613783863268152]]"
