atoms;coordinates;total_energy;mulliken_charges;forces
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.558410238361233,10.87961461988697,-0.08183002955942777],[-5.4525227668258065,11.255873634476725,0.048770005686670864],[-8.245579951370786,8.240784922370041,-0.01709346006786842],[-4.747254887548046,8.741327569662303,0.11263956984662744]];-9.770110176892;[-0.47657759,-0.46108848,-0.52409185,-0.53824207];[[-0.014424816173,-0.064960085158,0.000654795908],[0.038941430217,-0.084285034046,0.002778406069],[-0.030086288912,0.064291970857,-0.002496729338],[0.005569674868,0.084953148347,-0.000936472639]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.567583771963955,10.948781178275016,0.1476442341453218],[-5.1982949305553,11.133737706224881,0.022326754916417568],[-8.242500742411,8.393119493469623,-0.001494749781289194],[-4.9429852623294845,8.588028762276732,-0.002274737685822745]];-9.748972404186;[-0.51493404,-0.49942534,-0.48674950,-0.49889112];[[-0.007893631073,-0.096750848696,-0.005142296469],[0.025499190105,-0.114706410056,-0.001562945578],[-0.025618609391,0.099599570930,0.005967643427],[0.008013050359,0.111857687821,0.000737598620]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.604586695500545,11.294081295121893,-0.22949334571168079],[-5.304093866655588,11.124785945265447,-0.010604824056097632],[-8.216082181742344,8.315771351386747,-0.13526734860456932],[-4.838961776980659,8.493619943137725,0.10438350721499988]];-9.790791430531;[-0.52448504,-0.47652641,-0.49856067,-0.50042788];[[-0.040357459147,0.007945848714,-0.002827849549],[0.038053147501,-0.068900240229,0.004597208566],[-0.031852528641,0.002761227096,-0.002480315456],[0.034156840288,0.058193164419,0.000710956440]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.658611684032158,11.052879535007984,0.041418473448670945],[-5.226426995537732,11.13822596213158,-0.06301963428980811],[-8.368311945094106,8.265868036887499,-0.04794290251303463],[-4.887931466362433,8.632568876829497,-0.07672198297517303]];-9.753992082606;[-0.51349370,-0.47751119,-0.50841320,-0.50058191];[[-0.019999723473,-0.013451287590,0.000149074191],[0.034417985896,-0.129676375930,-0.001230302560],[-0.018183936947,0.014408134918,0.000681474930],[0.003765674524,0.128719528601,0.000399753440]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.443945934913517,11.08016863872334,-0.14880207035440174],[-5.383614373258392,11.503632167701895,-0.09602851410835411],[-8.17850060232053,8.118647591846287,0.13028171364200458],[-4.829184691885572,8.615669551646379,-0.043850154222299736]];-9.821285945832;[-0.48775763,-0.48437807,-0.51616439,-0.51169991];[[-0.023569507089,0.003024080495,-0.001558265288],[0.022949513228,0.004855933128,0.000949472587],[-0.036555243573,-0.011950198428,0.003067503941],[0.037175237434,0.004070184805,-0.002458711240]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.589318615516138,11.08500372017143,0.030465421390786174],[-5.335870111586323,11.329490621177996,0.011493438362199604],[-8.213158611063545,8.247561246144214,0.26494458663319403],[-4.932162280060233,8.587036269647092,-0.02976416542582367]];-9.811542536599;[-0.50511979,-0.49105477,-0.50138898,-0.50243647];[[-0.035377754602,-0.014676455040,0.001019638410],[0.037457698419,-0.031326244571,-0.000125191082],[-0.036438869351,0.012039532465,0.002353084371],[0.034358925535,0.033963167146,-0.003247531699]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.735815519313759,10.993785951700557,-0.08050368502667579],[-5.4484520420343445,11.075413204467212,-0.048112639592823234],[-8.197272945490083,8.115719372944874,-0.12710326740624717],[-4.828291044743844,8.595156548038558,-0.08363807360620956]];-9.772222420303;[-0.52088892,-0.47580473,-0.50105054,-0.50225581];[[-0.035956782007,-0.005723417291,-0.000456678616],[0.055834702281,-0.127200940558,-0.001585810726],[-0.031518069286,0.010051731728,-0.000145093585],[0.011640149012,0.122872626121,0.002187582927]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.740296238092483,11.049073525890151,0.07566898096521502],[-5.236413449610961,11.113106875089423,-0.0164936596754441],[-8.247447078535322,8.163687221585642,0.037768896197225565],[-4.884880241105899,8.30805312764795,0.16921555359588802]];-9.791747630409;[-0.52078068,-0.49262000,-0.48718211,-0.49941720];[[-0.041210915333,-0.003046134915,0.000953493515],[0.036066655700,-0.021176658508,0.000141234699],[-0.033586928062,0.007745412157,-0.001576661344],[0.038731187695,0.016477381267,0.000481933130]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.438934084049432,11.071762294575402,0.068727762073958],[-5.1909013360170295,11.232395691652652,-0.019186388765642853],[-8.080841118221782,7.969067856057787,0.04259005423077602],[-4.766937252413986,8.47904317835294,-0.0851047816935736]];-9.808711949936;[-0.51180926,-0.48010470,-0.51553182,-0.49255422];[[-0.036346009361,0.016077163179,0.001019115790],[0.035257417340,-0.023290927069,-0.001350961423],[-0.033445670473,-0.020879846171,0.001337378577],[0.034534262494,0.028093610061,-0.001005532944]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.682195072745943,10.899954457709756,-0.16447929476952078],[-5.450091888688119,11.271598076710612,0.011272657213685732],[-8.274376944589415,8.269576185091156,-0.18064527090610663],[-4.745282340105536,8.379591992269214,0.011172472847993296]];-9.784527043871;[-0.48124636,-0.48530300,-0.49488879,-0.53856184];[[-0.027851965739,-0.063935501628,-0.002397601401],[0.028645035685,-0.003045378178,0.001474144042],[-0.040917633563,0.067064760098,-0.001253239972],[0.040124563617,-0.000083880292,0.002176697330]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.598345352197933,10.97151725291532,0.08285487343246625],[-5.417365672640472,11.151038220817192,0.17909246981437418],[-8.352077481020398,8.424789919028811,0.009852988298374207],[-5.131102727404887,8.73599140542041,0.062000400391597627]];-9.712055910630;[-0.50241720,-0.48986099,-0.50254303,-0.50517878];[[-0.009193174719,-0.125755092904,-0.004005940131],[0.048271811890,-0.262054650513,-0.012412672829],[-0.031219019466,0.125810708835,0.003216724211],[-0.007859617705,0.261999034582,0.013201888748]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.670030949585342,11.165299255702958,0.1325503084498205],[-5.289656488926348,11.292023395015823,-0.07351938949137768],[-8.335652065620598,8.473678536074688,0.16634212697570686],[-4.711561135290548,8.494288245188258,0.06163920094506367]];-9.774857306137;[-0.48870545,-0.47602780,-0.49744858,-0.53781817];[[-0.027110805554,-0.036000581277,0.002276947253],[0.023873307317,-0.012343933687,-0.000876310586],[-0.024781044413,0.042707223273,-0.000172172921],[0.028018542650,0.005637291691,-0.001228463746]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.50899849529486,11.14852526175861,0.017910380304372052],[-5.431238739205267,11.273573792931046,-0.0209732090924022],[-8.171480474382117,8.367411619662514,0.13724174136837472],[-4.845175673400472,8.626096519422152,0.00689805634610127]];-9.810208323727;[-0.49880706,-0.47747927,-0.50493339,-0.51878028];[[-0.026457008172,-0.024059166969,0.001298156708],[0.029582875267,-0.055612938152,0.000764336891],[-0.035989867822,0.030010087077,0.000184807326],[0.032864000727,0.049662018044,-0.002247300924]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.54682471284431,11.22695995171419,-0.012852961577646635],[-5.324075601624357,10.890764873716872,0.017708615632386994],[-8.352607794094556,8.171278856763477,0.005247925532470856],[-5.008675774194154,8.449399343937497,0.027221224709086923]];-9.750221163997;[-0.52362948,-0.47545398,-0.51188165,-0.48903489];[[-0.036558558439,0.011781685416,-0.000387657415],[0.053525997981,-0.229456027592,0.001138598621],[-0.032495589182,-0.002235542864,-0.000201700566],[0.015528149641,0.219909885039,-0.000549240640]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.485242091265663,11.071224991628439,0.0008600632446124882],[-5.300199195138377,11.319184616019474,-0.12510705546899253],[-8.254557030433194,8.10043496073475,0.09918238231540155],[-4.922685135478868,8.526978297557147,0.1496313074302222]];-9.816552987797;[-0.49852293,-0.48656209,-0.51317152,-0.50174345];[[-0.031431061339,0.001149011303,0.001483725934],[0.033042377600,-0.014226945672,0.000008499239],[-0.036822768639,-0.008059169862,-0.000820285210],[0.035211452378,0.021137104232,-0.000671939963]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.796295548016543,11.06760158068624,-0.026540701721332705],[-5.269942207468323,11.111599947966468,-0.10870072246939465],[-8.378050631143065,8.289472100207776,-0.001472004390682224],[-4.94968140671703,8.46472095517152,-0.1760318012646211]];-9.773738544039;[-0.52431875,-0.49159813,-0.48737570,-0.49670742];[[-0.025889190996,-0.013947895246,0.000920243267],[0.027006309904,-0.055789580474,-0.001849506682],[-0.023607923485,0.018455977255,0.000983757243],[0.022490804577,0.051281498465,-0.000054493828]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.657798594787662,11.099504909641132,0.10626284954712623],[-5.330035044079479,11.254839213445118,0.09752918346599948],[-8.347861144895344,8.293015304302907,0.02810978619740123],[-4.844872310283834,8.709927453001223,0.01279915733196197]];-9.770533564514;[-0.50259384,-0.47005582,-0.51291440,-0.51443595];[[-0.025653801809,-0.015437275012,-0.000302833574],[0.039026923201,-0.090558216121,-0.003089818545],[-0.024010902270,0.015628162258,0.000607977498],[0.010637780878,0.090367328875,0.002784674622]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.616234606557732,11.038914854964478,-0.02450378182293615],[-5.412117438347867,11.288506352429478,-0.1439763359190168],[-8.137011385992613,8.216091072722687,-0.021521888943448045],[-4.864431871652484,8.443716380595221,0.03539829672292339]];-9.818865259781;[-0.50295296,-0.49038070,-0.49360838,-0.51305796];[[-0.034414946567,-0.011328046763,0.001585078410],[0.028671135450,-0.009314588199,-0.000994401376],[-0.032158447044,0.014626924530,-0.001264710642],[0.037902258161,0.006015710432,0.000674033609]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.643118766770652,11.040147844700032,0.06296560418843859],[-5.289485745292501,11.267675222896607,0.22104976186158362],[-8.339902194585468,8.25189649906381,-0.09028867052416467],[-4.756137755385396,8.54504913914317,0.07226129934695778]];-9.782675326429;[-0.49295779,-0.47686841,-0.50838215,-0.52179165];[[-0.030196694880,-0.018250292079,-0.002417533804],[0.031710817810,-0.024168251668,-0.000139401309],[-0.027774528909,0.018041981447,-0.000053890190],[0.026260405979,0.024376562301,0.002610825303]]
