idx,config_id,oob_model_count,force_std_rms_oob,source
153,a0cbd7a90f316de1d7abb6eeb79fe4c32cfbb569,1,0.0,bi11-3
154,d0e83d11b5b33e26c0433b148b2a08318221de15,1,0.0,bi11-3
155,560ad180ac117a15badbd4ae7322dc1460895db2,3,0.011647791819486848,bi11-3
156,7e01c68a0bcc6a050ae73ebc2e7c78515220e6fd,2,0.019764591029110982,bi11-3
157,adc9d8d02adc3efcfc32636e2deb0592b1398760,3,0.009534941080674014,bi11-3
158,03dac457354b59e73a0beb190ea72b70691e954f,3,0.02645957295835994,bi11-3
159,48a74470148f9dceefdb7abd60aa5d9fd5aa8f04,2,0.02060626142977016,bi11-3
160,1592cfe37aef44eb624c7235c86c96962945c6a6,5,0.009239074169986771,bi11-3
161,18b470c1ff39729b55f59db11259d09e5cbd54c6,3,0.009868806669439331,bi11-3
162,ecc4ba9cca83e96ff71d17ee2ce00dcc254c9fe7,2,0.013199495139929567,bi11-3
163,f70714b27ae31c7bf752a3143bdd16fa169e330a,2,0.005696795548444687,bi11-3
164,fd67f1401f939ac504e6b9ef24230dd53a4bfcc4,1,0.0,bi11-3
165,13d600f0ac27e297a646116e31ce14e2bc9fd71a,1,0.0,bi11-3
166,49b3dbeb685bf3703ffa62c8a70882be6f304f3d,4,0.009459337394832576,bi11-3
167,b95179edc2ee1950cdd5a57ec70cba301f243a60,2,0.013021993437751445,bi11-3
168,97fccef1b76b6169200ca98ca73f43fba7517bbe,2,0.005516849186509599,bi11-3
169,5577f9b854902cca47c342f1bbdd3a12630e997d,5,0.01124051483851964,bi11-3
170,6f989f267dfe61c510630c2abe07eb36dd7f82df,1,0.0,bi11-3
171,8465aaa1688daf3da36cbb018120d0f079c892bb,3,0.007090949433888254,bi11-3
172,315c5d5c12e2229de012fe75d8b526d3871e9555,3,0.008535414870060513,bi11-3
173,ab42dc9ee038994d29ba5c03b5499e8b31e5dc4b,2,0.008396970467319707,bi11-3
174,f85b8fe79a88dffc7aa25efe0c5544e080f79b12,5,0.009213149339414473,bi11-3
175,b1899174528c1caf497adabd3f2e9a78e59e0bd6,4,0.009649085012247694,bi11-3
176,96bec1495b5eb66c7bba9d88168c90502f8cc126,3,0.01655043553620279,bi11-3
177,c402d06a0b936a29eba11f7a32605c69c28a5ec0,3,0.014233617732812173,bi11-3
178,3b58f2ae20329cc91af8c27d2939a43db4eca83d,2,0.005256545707024831,bi11-3
179,9ec6350510061e4011ff9e4b038ab5943b2a23fd,3,0.0062237828983330865,bi11-3
180,d92eea82c7a57ec691d67ff45d2ca6fba9a0b31b,2,0.013079936395733736,bi11-3
181,f8fb1d9bdafcf6399294e7c16c6a8d60806ef756,1,0.0,bi11-3
182,57502175aacdda9c68ba9a154a1d659d3abaa705,2,0.010060514776062577,bi11-3
183,25fee12817709fb52c142a0b39fa0ef435e89395,4,0.005539697953825666,bi11-3
184,e391b4e09c8daea4dff434b5f130f4eade4ae51e,2,0.007118636344789495,bi11-3
185,97eddbe2832422fc4837b6980c95aa772a44e705,4,0.0066269392612245395,bi11-3
186,91e2e7e761703ce42461ff43d81e10d17e9d7ff3,3,0.005775010876528494,bi11-3
187,0186023efb37bb5d53a5ad1d5a79408bc3181e2c,5,0.006664180600143368,bi11-3
188,cfe908930da7cc88283fa4d55373582713b4de79,5,0.005088298245156921,bi11-3
189,8a7a6a304249bbf32dd048bc6e734e931615f424,5,0.0062183877841020625,bi11-3
190,7b5019b6b79fe35776ce76a4f600ce07104971d3,2,0.007801938249952598,bi11-3
191,f2434a5c8073e23a7e74a4eb61195b300fffa519,5,0.006538306553165195,bi11-3
192,a887887dbf3a70840c83aba3fb7454077b5879c0,0,,bi11-3
193,21d6ea10357452e713b3a0313b313e7fdbdcbb7e,2,0.030013344646978506,bi11-3
194,49aef20b0e35f0c360221b588d86887fc8afda39,5,0.012743554935989677,bi11-3
195,91d71fb62b1fbe674f5c434df553fbd7221e2cf2,2,0.0100315870442133,bi11-3
196,4dcccbc9bfd30e827d310081bba9ad0ac2b2fb3f,3,0.007765684273381841,bi11-3
197,e60a4451babbacf20c74cc703cf54dfa1fc8e791,2,0.0070270192569514035,bi11-3
198,8f43400fa300022383f88e97dc521a5cb3e55bfe,3,0.004868569040994275,bi11-3
199,ac253adb840016c3238360f881d401dc5abdca42,3,0.010478277138785236,bi11-3
200,e860d297bde166cbc00f91f0a16783fa7f719669,2,0.007181045089663351,bi11-3
201,c378adb96f2a91af6c23376cedbd2ac80af8a623,3,0.007954279841424345,bi11-3
202,0f2a952cfd521cfcb861c52f437aeb2474c1ec3b,4,0.007320744816703025,bi11-3
203,dd4d9c77f07bd27f101484cb781080bb6ed22f0a,3,0.010892084771094079,bi11-3
204,dee9feb296bbdcb37f2b7372cf3a03c0bd48866b,3,0.00765842350810502,bi11-3
205,444036229ed98f6f214285b8a13f17f203def97e,4,0.00733646456190244,bi11-3
206,33f270d24a04652c45a0a463245273f66ad3084b,2,0.006611453097229225,bi11-3
207,b0fb32af5d382c8c071588ea7d7f8255a7ec3cb4,2,0.011851070903453774,bi11-3
208,14ad4d6f1d0f1340652e19c6af0fa974e882e72f,2,0.017036128872282584,bi11-3
209,bb580a1eab3f0b2e04189049fb7950521fce9242,2,0.01256404206760071,bi11-3
210,a3e4f79073905c1969c866ef0ea49418827f8e68,2,0.004999398376327456,bi11-3
211,e30052c8646d6c7adaa4c4c802dc3d569f9bf2b4,1,0.0,bi11-3
212,a67a28ae5e357af1a232ec0cdc7d81cb363ff14d,3,0.005796686337332117,bi11-3
213,3bafc21b660c26f3a26350893549f63aa0ca5c6d,1,0.0,bi11-3
214,c5912b9eeae6bbaf3c332adee1c7e0d3b670234b,5,0.012696615546279788,bi11-3
215,4989353018fb4bb3a708899036b6841c4dea370a,2,0.00517122052110194,bi11-3
216,8fe1e424a15b7d506061a92332f3d80ff956a504,1,0.0,bi11-3
217,61fd8be9b3f0d4e2628b23595c2516dd9872ba85,3,0.0060498091668615694,bi11-3
218,19adaec174dcd5b598bbb4bbc910f900f70ec155,1,0.0,bi11-3
219,c0b8c4e10daa7e4650d46b15550c703adc93bcc5,3,0.013975980532239756,bi11-3
220,1a6b6d0a71c6bb9fdd242bced02fa71eef651d17,3,0.004130232415470395,bi11-3
221,0ae4dc03a90c66095e04fdca73ddffa5c5ba9b4a,4,0.006541013362266796,bi11-3
222,5b84f75ccda541cf012b8ca71fac0b28c6d46b6a,4,0.006206836318537297,bi11-3
223,1cefa7a1df4d5a369c9068172815ee2369088a92,1,0.0,bi11-3
224,6b98ce9e82b3544d4360f8c925293ef466942112,2,0.011999019493618418,bi11-3
225,b6579e2e37f4002913d5f0151f2ec015877fcf61,4,0.0057791948772207774,bi11-3
226,2870fec1262288d021f40fb6b7746f05aeb89d5d,0,,bi11-3
227,0b87fe0e927164163e80d52f583462bdf8140bda,3,0.027803567563427816,bi11-3
228,3cc518afc21592fa73de25543ec352be5045a845,2,0.02385023104316307,bi11-3
229,0fe1f28d796c686556cf7a21df1fa5ebbd086895,3,0.011326975345883793,bi11-3
230,7708666476202cadf092ecb4ff4e44d779fda758,3,0.006905688214699557,bi11-3
231,04436272c751eacfddb2437a0cad1d0b6cedede6,2,0.012627366869379484,bi11-3
232,46db0a59b55763f7a2e29db5704d24ef96f91c92,0,,bi11-3
233,d9514c681d34c757790f6f1c8c22e3140d8e4675,3,0.007189438863204473,bi11-3
234,5b759631e8be8c4ff1ea546b4d8bd86f1b6566b9,5,0.0057518969917465705,bi11-3
235,224fa82d179e35613085a11c0cd4eda93c15a24c,5,0.008457195129794896,bi11-3
236,1b9674622c35ea4008ded87c1cb05ea9df6c7a96,1,0.0,bi11-3
237,5d634f055ff9a33cc7c99235898d4db7879f14ed,3,0.00818723388448252,bi11-3
238,0fe657daffb80667a6c9c4f4d59fe5b5da781604,2,0.0061018887338862345,bi11-3
239,0f2256e99658aa144d6f32bec27209d509052f46,3,0.0066108503292540526,bi11-3
240,dff6205e2bee8039738da70f78004ffaaa372522,2,0.010595858816328758,bi11-3
241,260eaf5415e549574d344ac3b2d4d1b56b0d1568,1,0.0,bi11-3
242,c14eb47bfeb524e2dad6e26f8879ed3badf342c4,2,0.007927121118680406,bi11-3
243,2cacc10dd8c4280a5c65547244b46ac9c8df77c1,5,0.008530260163181189,bi11-3
244,7dbb1e90528c490e1c18a0bd361deb5472bc7d20,1,0.0,bi11-3
245,d7d1e5456f0a55ea41fd54df41a6977f53eb6477,1,0.0,bi11-3
246,db51b5eb638eab4cc2322346e34093f2d1ab921d,2,0.0101900764932729,bi11-3
247,f80a5cada90cd55d0ea1f2a2ee2b0003c99fa5e8,4,0.0064624401658689165,bi11-3
248,e5f2312d4197d50ff8c93313a187816a57276a81,2,0.005244225731166247,bi11-3
249,5e4049ec0e9cf301cc979439cae8ede904223c65,2,0.00570571095196346,bi11-3
250,ce57f72f0bbd03e3355a2d6a64f322b39de6ad30,2,0.008990883299067538,bi11-3
251,b09421cf419302dab158a45c7348f15603d23788,1,0.0,bi11-3
252,7fdaf266d3bcc562cd6654df927e9768d7442099,5,0.006031733797566076,bi11-3
253,5bc6e81e6a224a8cd5466ddfd4cd105cee57a35c,2,0.008605105929203155,bi11-3
254,edbfc1a5f11bb4bd49ea7eaa01c03b229dd1ab74,4,0.008788070488929975,bi11-3
255,13eff7d98d20376b7e440fcd8479b5be47aa0a4d,2,0.00864485343762402,bi11-3
256,a06fd8b7aa88f3cd88ac24d1eea53d7954f487ba,2,0.008152867194138576,bi11-3
257,ad7dc46a624cbf4d032015a3bb1c30ea1e507af1,5,0.018518879165736538,bi11-3
258,4c79a447f2ceb34ca085507adee46c1e806f0483,1,0.0,bi11-3
259,9a6584d00153dd10a0f4defd1eb6a304719dbee4,2,0.014701388750841319,bi11-3
260,f3efafee5aa0b037e1394057768de4ead179d6fa,2,0.008927463945665428,bi11-3
261,08b52fea0fe10b4583d4f956f23c9430675ab469,2,0.0065273924293448886,bi11-3
262,f78633d0d98d46eecee23a38c4c215cef9952685,1,0.0,bi11-3
263,7697805c497018bd437186f0bbd9e8f4a2ced6d2,2,0.009654100679272153,bi11-3
264,aad3b75d5e68091bbb0e4b5608058a2c21959c9a,2,0.0074755431186103545,bi11-3
265,f5e39e6e8eaf877578871722330ed07287a50eca,2,0.013441460731934682,bi11-3
266,6b64853b7abf290743cca588bca8efe4728947c2,1,0.0,bi11-3
267,ecf59a3638dcff2bd847ff23f6a6628456921125,2,0.010860919745074093,bi11-3
268,65796a653461864d93b839516a53416f69e5d600,1,0.0,bi11-3
269,e4398d21efa3439e85dbcdb7696437b2cae689bf,1,0.0,bi11-3
270,e5f2ae9136f148edcedb0a3d2283b9c4a49a6131,5,0.011012532439987035,bi11-3
271,6d029175ef35692822a9d7279d8b97a30838691b,1,0.0,bi11-3
